[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[ 160.1 min] step   65522 | games  443023 ( 46.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7754 value 0.2260 | 199.8 min left
[ 161.1 min] step   65935 | games  446190 ( 46.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7760 value 0.2257 | 198.8 min left
[ 162.1 min] step   66355 | games  449447 ( 46.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7764 value 0.2252 | 197.8 min left
[ 163.1 min] step   66757 | games  452656 ( 46.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7765 value 0.2249 | 196.8 min left
[ 164.1 min] step   67179 | games  455824 ( 46.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7766 value 0.2244 | 195.8 min left
[ 165.1 min] step   67613 | games  459191 ( 46.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7769 value 0.2238 | 194.8 min left
[ 166.1 min] step   68023 | games  462443 ( 46.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7774 value 0.2234 | 193.8 min left
[ 167.1 min] step   68439 | games  465730 ( 46.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7776 value 0.2228 | 192.8 min left
[ 168.1 min] step   68860 | games  469043 ( 46.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7778 value 0.2224 | 191.8 min left
[ 169.1 min] step   69273 | games  472296 ( 46.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7781 value 0.2219 | 190.8 min left
[ 170.1 min] step   69681 | games  475513 ( 46.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7783 value 0.2214 | 189.8 min left
[ 171.1 min] step   70112 | games  478866 ( 46.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7786 value 0.2209 | 188.8 min left
[ 172.1 min] step   70520 | games  482116 ( 46.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7790 value 0.2204 | 187.8 min left
[ 173.1 min] step   70937 | games  485305 ( 46.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7792 value 0.2199 | 186.8 min left
[ 174.1 min] step   71350 | games  488455 ( 46.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7795 value 0.2195 | 185.8 min left
[ 175.1 min] step   71764 | games  491684 ( 46.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7795 value 0.2190 | 184.8 min left
[ 176.1 min] step   72194 | games  495087 ( 46.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7797 value 0.2186 | 183.8 min left
[ 177.1 min] step   72603 | games  498465 ( 46.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7800 value 0.2181 | 182.8 min left
[ 178.1 min] step   73037 | games  501820 ( 47.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7803 value 0.2176 | 181.8 min left
[ 179.1 min] step   73449 | games  505204 ( 47.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7805 value 0.2171 | 180.8 min left
[ 180.1 min] step   73885 | games  508742 ( 47.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7809 value 0.2166 | 179.8 min left
[ 181.1 min] step   74300 | games  512114 ( 47.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7933 value 0.2021 | 178.8 min left
[ 182.1 min] step   74706 | games  515468 ( 47.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7922 value 0.2005 | 177.8 min left
[ 183.1 min] step   75113 | games  518774 ( 47.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7934 value 0.2007 | 176.8 min left
[ 184.1 min] step   75547 | games  522122 ( 47.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7948 value 0.1999 | 175.8 min left
[ 185.1 min] step   75950 | games  525418 ( 47.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7945 value 0.1999 | 174.8 min left
